# x_m, y_m, w_tr_right_m, w_tr_left_m
0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
8.572970688533132488e-03, 6.811432740157159493e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.515455967509069662e-02, 1.362308700508930492e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.013276244902044779e-02, 2.043487732086100461e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.378632989821198931e-02, 2.724675156374132712e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.631774646717986027e-02, 3.405867675045198162e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.787498656291518412e-02, 4.087063117313095795e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.856605833848107137e-02, 4.768259988990490861e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.846880833947125489e-02, 5.449457204270846233e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.763753405306488414e-02, 6.130653919285186326e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.610738027517527440e-02, 6.811849422934978193e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.389713406851115204e-02, 7.493043059410666729e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
2.101079690047527246e-02, 8.174234166678685298e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-3.081026157602991811e-01, 8.770651819980503916e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-8.828646622628980589e-01, 9.136272176995010597e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.541342724352989579e+00, 9.310732193357921460e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.206420157312823260e+00, 9.458047038946620688e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.872294639729978005e+00, 9.601716204841602931e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-3.538290256495452368e+00, 9.744822787542956277e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-4.204285873260914741e+00, 9.887929370244307847e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
-4.870281490026378002e+00, 1.003103595294567185e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-5.536277106791840374e+00, 1.017414253564702520e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-6.202272723557303635e+00, 1.031724911834837854e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-6.868268340322777554e+00, 1.046035570104974255e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-7.534263957088239927e+00, 1.060346228375109412e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-8.200259573853713846e+00, 1.074656886645244747e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-8.866255190619176219e+00, 1.088967544915379904e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-9.532250807384640368e+00, 1.103278203185516304e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.019824642415010274e+01, 1.117588861455651639e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.086424204091556511e+01, 1.131899519725786973e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.153023765768103992e+01, 1.146210177995923374e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.219623327444650229e+01, 1.160520836266058531e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.286222889121197710e+01, 1.174831494536193865e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.352822450797743947e+01, 1.189142152806330266e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.419422012474290185e+01, 1.203452811076465423e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.486021574150836422e+01, 1.217763469346600758e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.552621135827382659e+01, 1.232074127616737158e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.619220697503930140e+01, 1.246384785886872493e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.685820259180476555e+01, 1.260695444157007650e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.752419820857022614e+01, 1.275006102427142984e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.819019382533570095e+01, 1.289316760697279385e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.885618944210116510e+01, 1.303627418967414542e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-1.952218505886662570e+01, 1.317938077237549876e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.018818067563208984e+01, 1.332248735507686277e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.085417629239755399e+01, 1.346559393777821612e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.152017190916301459e+01, 1.360870052047956769e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.218616752592847874e+01, 1.375180710318092103e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.285216314269393934e+01, 1.389491368588228504e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.351815875945940348e+01, 1.403802026858363661e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.418415437622486763e+01, 1.418112685128500061e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.485014999299032823e+01, 1.432423343398635396e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.551614560975579238e+01, 1.446734001668770730e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.618214122652125297e+01, 1.461044659938905887e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.684813684328671712e+01, 1.475355318209042288e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.751413246005219193e+01, 1.489665976479177623e+01, 1.000000000000000000e+00, 1.000000000000000000e+00
