#x_m,y_m, w_tr_right_m, w_tr_left_m
0.0,0.0,4.6250,4.6250
1.0189632075254043,0.0,4.6250,4.6250
2.0379264150508085,0.0,4.6250,4.6250
3.0568896225762128,0.0,4.6250,4.6250
4.075852830101617,0.0,4.6250,4.6250
5.094816037627021,0.0,4.6250,4.6250
6.1137792451524255,0.0,4.6250,4.6250
7.13274245267783,0.0,4.6250,4.6250
8.151705660203234,0.0,4.6250,4.6250
9.170668867728638,0.0,4.6250,4.6250
10.189632075254043,0.0,4.6250,4.6250
11.208595282779447,0.0,4.6250,4.6250
12.227558490304851,0.0,4.6250,4.6250
13.246521697830255,0.0,4.6250,4.6250
14.26548490535566,0.0,4.6250,4.6250
15.284448112881064,0.0,4.6250,4.6250
16.303411320406468,0.0,4.6250,4.6250
17.32237452793187,0.0,4.6250,4.6250
18.341337735457277,0.0,4.6250,4.6250
19.360300942982683,0.0,4.6250,4.6250
20.379264150508085,0.0,4.6250,4.6250
21.398227358033488,0.0,4.6250,4.6250
22.417190565558894,0.0,4.6250,4.6250
23.4361537730843,0.0,4.6250,4.6250
24.455116980609702,0.0,4.6250,4.6250
25.474080188135105,0.0,4.6250,4.6250
26.49304339566051,0.0,4.6250,4.6250
27.512006603185917,0.0,4.6250,4.6250
28.53096981071132,0.0,4.6250,4.6250
29.54993301823672,0.0,4.6250,4.6250
30.568896225762128,0.0,4.6250,4.6250
31.587859433287534,0.0,4.6250,4.6250
32.606822640812936,0.0,4.6250,4.6250
33.62578584833834,0.0,4.6250,4.6250
34.64474905586374,0.0,4.6250,4.6250
35.66371226338915,0.0,4.6250,4.6250
36.68267547091455,0.0,4.6250,4.6250
37.701638678439956,0.0,4.6250,4.6250
38.720601885965365,0.0,4.6250,4.6250
39.73956509349077,0.0,4.6250,4.6250
40.75815717014853,-0.02055239078003187,4.6250,4.6250
41.77271809351739,-0.11270853223331052,4.6250,4.6250
42.77789363477083,-0.27838293490311267,4.6250,4.6250
43.76836467184712,-0.51669892103736,4.6250,4.6250
44.73887241842064,-0.8264441991376205,4.6250,4.6250
45.684290996804805,-1.20593018267364,4.6250,4.6250
46.599617902257854,-1.65314733452678,4.6250,4.6250
47.479992949602405,-2.1657553031283547,4.6250,4.6250
48.32075683414666,-2.74103120254707,4.6250,4.6250
49.11747100350533,-3.375911146832864,4.6250,4.6250
49.86591234814186,-4.0670426964739255,4.6250,4.6250
50.56209378594214,-4.810788884330756,4.6250,4.6250
51.20235948790524,-5.603181258782845,4.6250,4.6250
51.78332134156655,-6.440026692541083,4.6250,4.6250
52.301867759820915,-7.316917145812469,4.6250,4.6250
52.7552789194099,-8.229191415853462,4.6250,4.6250
53.14116461281397,-9.172016151878028,4.6250,4.6250
53.45746208178252,-10.140408152868705,4.6250,4.6250
53.70248623791508,-11.129240652274051,4.6250,4.6250
53.87497025106327,-12.133270113293863,4.6250,4.6250
53.974000659086535,-13.147183530748695,4.6250,4.6250
54.0,-14.165618868881564,4.6250,4.6250
54.0,-15.184582076407015,4.6250,4.6250
54.0,-16.203545283932456,4.6250,4.6250
54.0,-17.222508491457894,4.6250,4.6250
54.0,-18.24147169898334,4.6250,4.6250
54.0,-19.260434906508777,4.6250,4.6250
54.0,-20.27939811403422,4.6250,4.6250
54.0,-21.29836132155966,4.6250,4.6250
54.0,-22.317324529085106,4.6250,4.6250
54.0,-23.336287736610544,4.6250,4.6250
54.0,-24.355250944135975,4.6250,4.6250
54.0,-25.374214151661413,4.6250,4.6250
54.0,-26.393177359186858,4.6250,4.6250
54.0,-27.412140566712296,4.6250,4.6250
54.0,-28.431103774237723,4.6250,4.6250
54.0,-29.45006698176318,4.6250,4.6250
54.0,-30.469030189288606,4.6250,4.6250
54.0,-31.487993396814034,4.6250,4.6250
54.0,-32.50695660433945,4.6250,4.6250
54.0,-33.525919811864846,4.6250,4.6250
54.0,-34.54488301939024,4.6250,4.6250
54.0,-35.56384622691563,4.6250,4.6250
54.0,-36.58280943444102,4.6250,4.6250
54.0,-37.60177264196642,4.6250,4.6250
54.0,-38.62073584949184,4.6250,4.6250
54.0,-39.63969905701725,4.6250,4.6250
54.0,-40.658662264542656,4.6250,4.6250
54.0,-41.677625472068065,4.6250,4.6250
54.0,-42.69658867959346,4.6250,4.6250
54.0,-43.71555188711888,4.6250,4.6250
54.0,-44.73451509464427,4.6250,4.6250
54.0,-45.7534783021697,4.6250,4.6250
54.0,-46.77244150969511,4.6250,4.6250
54.0,-47.79140471722052,4.6250,4.6250
54.0,-48.810367924745925,4.6250,4.6250
54.0,-49.829331132271335,4.6250,4.6250
54.0,-50.84829433979674,4.6250,4.6250
54.0,-51.86725754732214,4.6250,4.6250
54.0,-52.88622075484755,4.6250,4.6250
54.0,-53.90518396237295,4.6250,4.6250
54.0,-54.924147169898376,4.6250,4.6250
54.0,-55.94311037742378,4.6250,4.6250
54.0,-56.96207358494919,4.6250,4.6250
54.0,-57.98103679247459,4.6250,4.6250
54.0,-59.0,4.6250,4.6250
