#x_m,y_m, w_tr_right_m, w_tr_left_m
0.0,0.0,4.6250,4.6250
1.0039338462833998,0.0,4.6250,4.6250
2.0078676925667995,0.0,4.6250,4.6250
3.0118015388501993,0.0,4.6250,4.6250
4.015735385133599,0.0,4.6250,4.6250
5.019669231416999,0.0,4.6250,4.6250
6.023603077700399,0.0,4.6250,4.6250
7.027536923983798,0.0,4.6250,4.6250
8.031470770267198,0.0,4.6250,4.6250
9.035404616550597,0.0,4.6250,4.6250
10.039338462833998,0.0,4.6250,4.6250
11.043272309117398,0.0,4.6250,4.6250
12.047206155400797,0.0,4.6250,4.6250
13.051140001684196,0.0,4.6250,4.6250
14.055073847967597,0.0,4.6250,4.6250
15.059007694250997,0.0,4.6250,4.6250
16.062941540534396,0.0,4.6250,4.6250
17.066875386817795,0.0,4.6250,4.6250
18.070809233101194,0.0,4.6250,4.6250
19.074633861468726,-0.00732786527607693,4.6231,4.6231
20.0780014449084,-0.041042257096782254,4.6146,4.6146
21.077193849896727,-0.1376436461133687,4.6075,4.6075
22.070194257615913,-0.2822130404088322,4.5945,4.5945
23.055052231634566,-0.47443810375923284,4.5824,4.5824
24.02981792545893,-0.7139851527041574,4.5785,4.5785
24.98823645259895,-1.0128445822644758,4.5855,4.5855
25.92878570000402,-1.362922812168812,4.6039,4.6039
26.8512096683284,-1.7578236714722875,4.6131,4.6131
27.753693240948763,-2.1967700778431154,4.6094,4.6094
28.632680249730008,-2.681799886649056,4.5988,4.5988
29.479106387053996,-3.221545242487887,4.5948,4.5948
30.298004396387338,-3.8015468933805328,4.6021,4.6021
31.08797823703353,-4.420290184146703,4.6032,4.6032
31.847462726334285,-5.076570668057406,4.5888,4.5888
32.5664216308313,-5.7772712184766295,4.5951,4.5951
33.24522176444739,-6.516525622191726,4.6049,4.6049
33.88746782459278,-7.2874263597652575,4.6029,4.6029
34.4919278704525,-8.088484606515168,4.5973,4.5973
35.05530742641115,-8.91943006418478,4.6108,4.6108
35.56450810507883,-9.784580253397559,4.6014,4.6014
36.030449574978405,-10.673358255833358,4.6057,4.6057
36.45301235593968,-11.583487398621164,4.4109,4.4109
36.8313513624246,-12.513182647610483,3.8817,3.8817
37.154786188782715,-13.463589445151447,3.0719,3.0719
37.423571778669924,-14.43061048056474,2.3450,2.3450
37.64540295146121,-15.409181408445678,1.8545,1.8545
37.81985885819443,-16.397378392543747,1.6181,1.6181
37.9457385922243,-17.393385960848835,1.5940,1.5940
38.0060746459646,-18.395481198935187,1.6180,1.6180
38.0172894132666,-19.398935305372284,1.6250,1.6250
37.994767244065685,-20.402490645995226,1.6250,1.6250
37.953159624160314,-21.40556191648362,1.6250,1.6250
37.91155200425494,-22.408633186972,1.6250,1.6250
37.86994438434956,-23.411704457460395,1.6250,1.6250
37.82833676444419,-24.41477572794879,1.6250,1.6250
37.786729144538825,-25.417846998437177,1.6250,1.6250
37.745121524633454,-26.42091826892557,1.6250,1.6250
37.703513904728084,-27.42398953941396,1.6250,1.6250
37.66190628482271,-28.427060809902347,1.6250,1.6250
37.620298664917335,-29.430132080390738,1.6250,1.6250
37.578691045011965,-30.433203350879133,1.6250,1.6250
37.537083425106594,-31.43627462136752,1.6250,1.6250
37.495475805201224,-32.439345891855915,1.6250,1.6250
37.45386818529585,-33.4424171623443,1.6250,1.6250
37.412260565390476,-34.44548843283269,1.6250,1.6250
37.370652945485105,-35.44855970332108,1.6250,1.6250
37.32904532557974,-36.45163097380947,1.6250,1.6250
37.28743770567437,-37.454702244297856,1.6250,1.6250
37.24583008576899,-38.45777351478625,1.6250,1.6250
37.20422246586362,-39.46084478527464,1.6250,1.6250
37.162614845958245,-40.463916055763036,1.6250,1.6250
37.12100722605288,-41.46698732625142,1.6250,1.6250
37.07939960614752,-42.4700585967398,1.6250,1.6250
37.03779198624214,-43.47312986722819,1.6250,1.6250
36.99618436633677,-44.47620113771658,1.6250,1.6250
36.95457674643139,-45.47927240820498,1.6250,1.6250
36.9182066844975,-46.482478813430696,1.6250,1.6250
36.914529501703754,-47.48640592534674,1.6250,1.6250
36.96649930858412,-48.48849184074754,1.6237,1.6237
37.06351157820496,-49.48713532219672,1.6226,1.6226
37.21117838455171,-50.48014936388467,1.6226,1.6226
37.42763849140993,-51.46028476654716,1.6226,1.6226
37.687969221509924,-52.429137905976596,1.6150,1.6150
37.99178020153871,-53.3857147073898,1.6036,1.6036
38.3588152560252,-54.32014952934984,1.6174,1.6174
