#x_m,y_m, w_tr_right_m, w_tr_left_m
3.771310, 0.000000, 1.000000, 1.000000
5.028414, 0.000000, 1.000000, 1.000000
6.285517, 0.000000, 1.000000, 1.000000
7.542620, 0.000000, 1.000000, 1.000000
8.799724, 0.000000, 1.000000, 1.000000
10.056827, 0.000000, 1.000000, 1.000000
11.313930, 0.000000, 1.000000, 1.000000
12.571034, 0.000000, 1.000000, 1.000000
13.828137, 0.000000, 1.000000, 1.000000
15.085241, 0.000000, 1.000000, 1.000000
16.342344, 0.000000, 1.000000, 1.000000
17.599447, 0.000000, 1.000000, 1.000000
18.856551, 0.000000, 1.000000, 1.000000
20.113654, 0.000000, 1.000000, 1.000000
21.370757, 0.000000, 1.000000, 1.000000
22.627861, 0.000000, 1.000000, 1.000000
23.914863, -0.043245, 1.000000, 1.000000
25.196060, -0.172784, 1.000000, 1.000000
26.465671, -0.388034, 1.000000, 1.000000
27.717970, -0.688023, 1.000000, 1.000000
28.947307, -1.071399, 1.000000, 1.000000
30.148136, -1.536430, 1.000000, 1.000000
31.315041, -2.081021, 1.000000, 1.000000
32.442757, -2.702713, 1.000000, 1.000000
33.526197, -3.398704, 1.000000, 1.000000
34.560474, -4.165852, 1.000000, 1.000000
35.540922, -5.000697, 1.000000, 1.000000
36.463119, -5.899474, 1.000000, 1.000000
37.322903, -6.858127, 1.000000, 1.000000
38.116397, -7.872333, 1.000000, 1.000000
38.840021, -8.937515, 1.000000, 1.000000
39.490510, -10.048870, 1.000000, 1.000000
40.064931, -11.201383, 1.000000, 1.000000
40.560692, -12.389855, 1.000000, 1.000000
40.975556, -13.608926, 1.000000, 1.000000
41.307652, -14.853095, 1.000000, 1.000000
41.555483, -16.116751, 1.000000, 1.000000
41.717929, -17.394192, 1.000000, 1.000000
41.794259, -18.679657, 1.000000, 1.000000
41.784127, -19.967346, 1.000000, 1.000000
41.732027, -21.223369, 1.000000, 1.000000
41.679927, -22.479392, 1.000000, 1.000000
41.627827, -23.735416, 1.000000, 1.000000
41.575727, -24.991439, 1.000000, 1.000000
41.523627, -26.247462, 1.000000, 1.000000
41.471527, -27.503486, 1.000000, 1.000000
41.419426, -28.759509, 1.000000, 1.000000
41.367326, -30.015532, 1.000000, 1.000000
41.315226, -31.271555, 1.000000, 1.000000
41.263126, -32.527579, 1.000000, 1.000000
41.211026, -33.783602, 1.000000, 1.000000
41.158926, -35.039625, 1.000000, 1.000000
41.106826, -36.295648, 1.000000, 1.000000
41.054726, -37.551672, 1.000000, 1.000000
41.002625, -38.807695, 1.000000, 1.000000
40.950525, -40.063718, 1.000000, 1.000000
40.898425, -41.319742, 1.000000, 1.000000
40.846325, -42.575765, 1.000000, 1.000000
40.794225, -43.831788, 1.000000, 1.000000
40.742125, -45.087811, 1.000000, 1.000000
40.690025, -46.343835, 1.000000, 1.000000
40.684861, -47.753595, 1.000000, 1.000000
40.786171, -49.159720, 1.000000, 1.000000
40.993375, -50.554180, 1.000000, 1.000000
41.305291, -51.929010, 1.000000, 1.000000
41.720137, -53.276361, 1.000000, 1.000000
42.235545, -54.588537, 1.000000, 1.000000
42.848570, -55.858045, 1.000000, 1.000000
43.555712, -57.077636, 1.000000, 1.000000
44.226918, -58.140552, 1.000000, 1.000000
44.898124, -59.203469, 1.000000, 1.000000
45.569330, -60.266385, 1.000000, 1.000000
46.240536, -61.329302, 1.000000, 1.000000
46.911741, -62.392218, 1.000000, 1.000000
47.582947, -63.455135, 1.000000, 1.000000
48.254153, -64.518052, 1.000000, 1.000000
48.925359, -65.580968, 1.000000, 1.000000
49.596565, -66.643885, 1.000000, 1.000000
50.267770, -67.706801, 1.000000, 1.000000
50.938976, -68.769718, 1.000000, 1.000000
51.610182, -69.832634, 1.000000, 1.000000
52.281388, -70.895551, 1.000000, 1.000000
52.952594, -71.958468, 1.000000, 1.000000
53.623800, -73.021384, 1.000000, 1.000000
54.295005, -74.084301, 1.000000, 1.000000
54.966211, -75.147217, 1.000000, 1.000000
55.637417, -76.210134, 1.000000, 1.000000
56.308623, -77.273050, 1.000000, 1.000000
56.979829, -78.335967, 1.000000, 1.000000
57.651035, -79.398884, 1.000000, 1.000000
58.322240, -80.461800, 1.000000, 1.000000
58.993446, -81.524717, 1.000000, 1.000000
59.664652, -82.587633, 1.000000, 1.000000
60.335858, -83.650550, 1.000000, 1.000000
